country,year,IncomeGroup,TempChange,GM_PM25,sro_year,ssro_year,Urban,CHERate,OutPocketRate,CPI,lnPopDensity,lnTravel,WASHIndex,ImmIndex,AMC,J01A,J01B,J01C,J01D,J01E,J01F,J01G,J01M,SE.PRM.NENR,SE.SEC.NENR,AnimalmgKg,AnimalmgKg_adj,Aminoglycosides,Amphenicols,Cephalosporins,Lincosamides,Macrolides,Fluoroquinolones,Other quinolones,Penicillins,Pleuromutilins,Polypeptides,Sulfonamides,Tetracyclines,Others
51,1999,L,0.61,25.9,1.399460565,4.160992375,58.231,NA,NA,NA,0.946135513,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,1999,NA,0.625,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,1999,LM,-0.174,12.4,11.82066514,14.24963951,58.157,NA,NA,51,1.883143009,6.102776615,NA,83.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,1999,L,0.526,20.2,1.26095104,2.604306799,42.741,NA,NA,26,1.710981558,NA,NA,61.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.60624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,1999,UM,0.676,20.1,1.111200457,2.225128468,53.198,NA,NA,27,1.906937058,7.465605891,NA,93.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.00243,82.02676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,1999,LM,0.806,10.7,0.624340691,0.1336725,75.089,NA,NA,NA,2.013147027,6.204933522,NA,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.8031,75.76883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,1999,H,1.079,18,0.138766344,0,68.527,NA,NA,NA,2.003557509,6.411282913,NA,93.66666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.3991,87.81234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,1999,UM,1.116,19,0.207746351,1.659883143,74.12,NA,NA,46,2.124145243,NA,NA,97.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.06554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,1999,L,1.382,18.1,1.60184415,1.925391667,59.334,NA,NA,NA,2.284909621,NA,NA,68.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,1999,L,0.455,25.8,1.725806303,4.107053744,34.659,NA,NA,NA,1.318731449,4.903089987,NA,22.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.80411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
